Venue Category,primary
Asian Restaurant,Food
Boarding House,Professional & Other
Strip Club,Entertainment
College Cafeteria,Food
Breakfast Spot,Food
Board Shop,Shop
Cycle Studio,Sports
Wine Bar,Food
Rock Club,Entertainment
Vape Store,Shop
Church,Spiritual Center
Hotel Bar,Travel
Country Dance Club,Entertainment
Turkish Restaurant,Food
Soup Place,Food
Hungarian Restaurant,Food
Basketball Court,Sports
Thrift / Vintage Store,Shop
Tailor Shop,Shop
Monument / Landmark,Recreation
Cuban Restaurant,Food
Indian Restaurant,Food
Boat Rental,Recreation
New American Restaurant,Food
Spanish Restaurant,Food
Track Stadium,Sports
Food,Food
Train,Transport
Performing Arts Venue,Art
Record Shop,Shop
Light Rail Station,Transport
Drugstore,Shop
Business Service,Transport
Print Shop,Shop
General Entertainment,Entertainment
Perfume Shop,Shop
Neighborhood,Professional & Other
Mexican Restaurant,Food
Opera House,Art
Bridal Shop,Shop
Gay Bar,Food
Vietnamese Restaurant,Food
Planetarium,Entertainment
Skate Park,Recreation
Castle,Recreation
Churrascaria,Food
French Restaurant,Food
Temple,Spiritual Center
Indie Movie Theater,Entertainment
RV Park,Recreation
Camera Store,Shop
Film Studio,Entertainment
Shipping Store,Shop
Flea Market,Shop
Bathing Area,Recreation
Gun Range,Professional & Other
Lighting Store,Shop
Gun Shop,Shop
Donut Shop,Shop
Moving Target,Transport
Roof Deck,Recreation
Medical Center,Medical Center
Salsa Club,Sports
Blini House,Food
Belgian Restaurant,Food
Speakeasy,Food
Israeli Restaurant,Food
Science Museum,Art
Kosher Restaurant,Food
Department Store,Shop
Food Stand,Food
Student Center,Education
Travel Agency,Travel
Czech Restaurant,Food
Other Nightlife,Entertainment
Auditorium,Professional & Other
Video Game Store,Shop
Roller Rink,Sports
Indoor Play Area,Recreation
College Quad,Education
Street Art,Art
Cultural Center,Art
College Arts Building,Education
Jewish Restaurant,Food
Poke Place,Food
Thai Restaurant,Food
Music School,Education
Road,Transport
Piercing Parlor,Service
Scottish Restaurant,Food
Souvenir Shop,Shop
Swiss Restaurant,Food
Brazilian Restaurant,Food
Palace,Entertainment
Amphitheater,Entertainment
Indian Chinese Restaurant,Food
Heliport,Transport
Nudist Beach,Recreation
Outdoor Gym,Sports
Convention Center,Service
Costume Shop,Shop
Bank,Service
Pilates Studio,Sports
College Theater,Art
Drive-in Theater,Art
Tattoo Parlor,Service
Jazz Club,Entertainment
Beach Bar,Food
Summer Camp,Recreation
Lawyer,Professional & Other
Aquarium,Entertainment
Falafel Restaurant,Food
Sausage Shop,Shop
Luggage Store,Shop
Comfort Food Restaurant,Food
Stationery Store,Shop
Hockey Arena,Sports
Car Wash,Service
Supplement Shop,Shop
Port,Transport
Resort,Recreation
Farm,Professional & Other
Used Bookstore,Shop
Comic Shop,Shop
Bubble Tea Shop,Shop
Nail Salon,Service
Laser Tag,Entertainment
Fish & Chips Shop,Shop
Internet Cafe,Food
Dry Cleaner,Service
Bowling Alley,Entertainment
Storage Facility,Professional & Other
Hockey Field,Sports
Tunnel,Transport
Baseball Field,Sports
Accessories Store,Shop
Shoe Repair,Service
Outlet Mall,Shop
Golf Course,Sports
Persian Restaurant,Food
Volleyball Court,Sports
Wings Joint,Food
Construction & Landscaping,Recreation
Bike Trail,Sports
Food Service,Food
Motel,Travel
Casino,Entertainment
Medical Supply Store,Shop
Building,Professional & Other
